Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
1/5/2015,2071,247,92,57,48,41,11,0
1/12/2015,2030,221,90,80,44,40,16,0
1/19/2015,2149,223,98,71,43,42,14,0
1/26/2015,2126,239,86,89,46,37,17,0
2/2/2015,1970,220,78,81,46,37,17,0
2/9/2015,1926,232,91,58,46,42,12,0
2/16/2015,1767,201,77,68,46,38,16,0
2/23/2015,1798,195,71,68,46,37,16,0
3/2/2015,1908,203,78,84,44,38,18,0
3/9/2015,1881,199,65,72,48,35,17,0
3/16/2015,2109,205,98,82,41,42,17,0
3/23/2015,1795,197,82,69,43,40,16,0
3/30/2015,1983,217,80,59,48,39,13,0
4/6/2015,1872,213,75,71,47,37,16,0
4/13/2015,1791,200,69,68,47,38,15,0
4/20/2015,1756,221,64,77,50,32,18,0
4/27/2015,1788,200,69,69,48,36,17,0
5/4/2015,1977,229,77,97,47,34,19,0
5/11/2015,1873,217,73,75,48,36,16,0
5/18/2015,1853,222,64,110,47,30,23,0
